Organization,Compound,Date,Negative,Neutral,Positive,Text,Tweets
BBC,0.0,Fri Sep 07 20:27:13 +0000 2018,1.0,0.0,0.0,@xs4all Nieuwe in-browser TV is een flinke verbetering. Dank. Toch ervaar ik een probleem dat sommige zenders sinds… https://t.co/P1XvpxRr4u,1
BBC,-0.2912,Fri Sep 07 20:27:12 +0000 2018,0.892,0.108,0.0,@Wailway7 @peoplesvote_uk I'm not really sure what you are talking about. They still haven't sorted out citizens ri… https://t.co/UV9tAKnDW6,2
BBC,-0.2732,Fri Sep 07 20:27:12 +0000 2018,0.909,0.091,0.0,"RT @pilitaclark: New BBC guidelines for covering climate change say outright deniers aren't needed for balance, ""in the same way you would…",3
BBC,0.0,Fri Sep 07 20:27:12 +0000 2018,1.0,0.0,0.0,BBC News - Spain parishioner botches Jesus and Mary statue restoration https://t.co/PwLdkgh5QU,4
BBC,0.5346,Fri Sep 07 20:27:10 +0000 2018,0.736,0.061,0.203,RT @simon_reeve: Not convinced by this at all. Most plastic is on sea bed. enthusiasm is great but we need to be stopping it getting into o…,5
BBC,-0.3566,Fri Sep 07 20:27:08 +0000 2018,0.85,0.15,0.0,RT @ChrisJSquire: A quick look at some of the councils under the most financial pressure https://t.co/JYess0XBST,6
BBC,0.4588,Fri Sep 07 20:27:08 +0000 2018,0.88,0.0,0.12,"RT @thebabblewagon: We told you Boyan Slat was gonna be big back in episode #82: https://t.co/SPVMVWwYLV

(No we didn’t, we laughed at his…",7
BBC,0.25,Fri Sep 07 20:27:08 +0000 2018,0.92,0.0,0.08,RT @MikScarlet: Popped down to BBC to do a quick interview about rail travel &amp; had a chance to catch Lenny Kravitz perform his new single.…,8
BBC,0.25,Fri Sep 07 20:27:07 +0000 2018,0.917,0.0,0.083,"RT @Rainmaker1973: James Burke had only one chance to nail this scene. A clip from the 1978 BBC television show Connections, season 1, epis…",9
BBC,0.25,Fri Sep 07 20:27:07 +0000 2018,0.917,0.0,0.083,"RT @Rainmaker1973: James Burke had only one chance to nail this scene. A clip from the 1978 BBC television show Connections, season 1, epis…",10
BBC,0.0,Fri Sep 07 20:27:07 +0000 2018,1.0,0.0,0.0,"'It's the day when I can remove my mask' https://t.co/9ksD10Niih : September 07, 2018 at 08:57PM via mikejulietbravo",11
BBC,0.0,Fri Sep 07 20:27:07 +0000 2018,1.0,0.0,0.0,"Spain parishioner botches Jesus and Mary statue restoration https://t.co/reGaj9vT51 : September 07, 2018 at 08:52PM via mikejulietbravo",12
BBC,0.25,Fri Sep 07 20:27:06 +0000 2018,0.917,0.0,0.083,"RT @Rainmaker1973: James Burke had only one chance to nail this scene. A clip from the 1978 BBC television show Connections, season 1, epis…",13
BBC,-0.5106,Fri Sep 07 20:27:05 +0000 2018,0.87,0.13,0.0,"RT @Paddideh: Examples of extreme poverty and economic mismanagement by Mullahs' regime in the past 39 years, these schools in south east o…",14
BBC,0.0,Fri Sep 07 20:27:04 +0000 2018,1.0,0.0,0.0,"We don’t deserve do-

Wait. https://t.co/EnuSrRee06",15
BBC,0.0,Fri Sep 07 20:27:04 +0000 2018,1.0,0.0,0.0,@JustABhoy Sitting catching up on tv I’ve not watched for weeks and scanning bbc website for the score. Shambolic,16
BBC,0.7177,Fri Sep 07 20:27:03 +0000 2018,0.76,0.0,0.24,"RT @CarolineLucas: Brilliant to see BBC finally setting things straight! “To achieve impartiality, you do not need to include outright deni…",17
BBC,0.0,Fri Sep 07 20:27:02 +0000 2018,1.0,0.0,0.0,#Nowplaying Silent letters - BBC Radio (6 Minute Vocabulary) https://t.co/crUoXQbA6X,18
BBC,0.0,Fri Sep 07 20:27:02 +0000 2018,1.0,0.0,0.0,I added a video to a @YouTube playlist https://t.co/UmscFcZnt2 BBC Victorian Farm Episode 1: The Teams Year Begins,19
BBC,0.2263,Fri Sep 07 20:27:01 +0000 2018,0.924,0.0,0.076,"RT @ChrisGPackham: I know , let’s go back to living in caves . . . We must not go back on this - Japan says it's time to allow sustainable…",20
BBC,0.2023,Fri Sep 07 20:27:01 +0000 2018,0.924,0.0,0.076,RT @BBCAfrica: Meet the street kids from Lagos tipped for the top by Rihanna and Naomi Campbell 💃🕺 (Via BBC News Pidgin) https://t.co/VPMoS…,21
BBC,0.4199,Fri Sep 07 20:27:01 +0000 2018,0.903,0.0,0.097,"RT @RockChoir: We’re almost at Hyde Park ready for sound checks and to get a first glimpse of the BBC Proms in the Park stage!🤗

Who else i…",22
BBC,0.0,Fri Sep 07 20:27:00 +0000 2018,1.0,0.0,0.0,"RT @bbcmundo: ""La homofobia es una admisión implícita de un deseo homosexual, consciente o inconsciente"": entrevista con André Aciman, auto…",23
BBC,-0.7506,Fri Sep 07 20:27:00 +0000 2018,0.709,0.291,0.0,"RT @BBCSport: Anyone confused about what the Nations League actually is?

Worry no more.

We have an explainer for you.

https://t.co/cO8Lo…",24
BBC,-0.0772,Fri Sep 07 20:26:59 +0000 2018,0.936,0.064,0.0,"RT @MsHelenWatts: This is serious. The CEO of @Genderintell, the organisation advising @Girlguiding on trans issues, also advised the Priso…",25
BBC,0.2846,Fri Sep 07 20:26:59 +0000 2018,0.915,0.0,0.085,"RT @FullyChargedDan: Delighted to see sense has arrived, but just how rudderless and utterly out of touch are the BBC’s employees to even n…",26
BBC,0.128,Fri Sep 07 20:26:59 +0000 2018,0.766,0.105,0.129,RT @martynwarwick: @AndrewD85231695 @redtailshark159 Another balanced BBC discussion on the Labour Party with three Tories &amp; no representat…,27
BBC,0.7088,Fri Sep 07 20:26:58 +0000 2018,0.781,0.0,0.219,RT @NeptunesArmy: We are delighted to announce @IoloWilliams2 as our very first patron! Iolo has supported us for many years and has featur…,28
BBC,-0.6486,Fri Sep 07 20:26:58 +0000 2018,0.569,0.431,0.0,Obama attacks 'crazy stuff' from Trump White House https://t.co/EqxeayHZQf,29
BBC,0.3382,Fri Sep 07 20:26:58 +0000 2018,0.715,0.0,0.285,"RT @BBCWorld: Well, it is colourful! 🤔

https://t.co/R63CwDYYKN",30
BBC,-0.296,Fri Sep 07 20:26:58 +0000 2018,0.909,0.091,0.0,"RT @MShapland: Operation Yellowhammer - named after the bird - who's song translates to ""a little bit of bread and no cheese"" 

I am not ma…",31
BBC,0.0,Fri Sep 07 20:26:58 +0000 2018,1.0,0.0,0.0,RT @d00little: So an American police officer walks into an apartment she ‘mistakenly’ thought was hers and shoots the black man inside....…,32
BBC,-0.5106,Fri Sep 07 20:26:57 +0000 2018,0.829,0.171,0.0,RT @MaeveSherlock: Jocelyn Bell Burnell: what a role model. Astrophysicist. Quaker. Failed 11-plus. Discovered pulsars as a student. Nobel…,33
BBC,0.5473,Fri Sep 07 20:26:57 +0000 2018,0.221,0.0,0.779,NICE https://t.co/8Q13SILrP6,34
BBC,0.0,Fri Sep 07 20:26:56 +0000 2018,1.0,0.0,0.0,These stories always rule: Spain parishioner botches Jesus and Mary statue restoration https://t.co/Svk4eTq40k,35
BBC,-0.296,Fri Sep 07 20:26:53 +0000 2018,0.885,0.115,0.0,"@_TrishalaPillai : I came across this while perusing the BBC. Had to ping you in case you missed it 🤗
https://t.co/sQraO65DvH",36
BBC,-0.4939,Fri Sep 07 20:26:50 +0000 2018,0.652,0.348,0.0,RT @bbcmtd: 'Prolific' burglar jailed https://t.co/emuJIeUVPi https://t.co/nVb8bSe6Kr,37
BBC,-0.128,Fri Sep 07 20:26:50 +0000 2018,0.936,0.064,0.0,"RT @boyfromcatford: If the BBC says that balance does not require including points of view detached from reality, why does it include peopl…",38
BBC,0.4939,Fri Sep 07 20:26:49 +0000 2018,0.833,0.0,0.167,"Commendable honesty &amp; realism from manager Gareth Southgate here as he talks about England's ""non-existent"" record… https://t.co/JO2g9SZN3V",39
BBC,0.0,Fri Sep 07 20:26:49 +0000 2018,1.0,0.0,0.0,@greenrd @MmmTea_____ @jessicazoeb @Dora_Chance @jameskirkup @BBC @NSPCC @Girlguiding Back to basics - do you think… https://t.co/zO669rCFEL,40
BBC,0.0,Fri Sep 07 20:26:48 +0000 2018,1.0,0.0,0.0,@SU2C Tonight at 8ET! You can tune in to the live event on BBC Earth. Learn more at https://t.co/2w4SsoXECk https://t.co/q1qe7Mm428,41
BBC,0.296,Fri Sep 07 20:26:48 +0000 2018,0.709,0.089,0.202,"RT @DrJacobsRad: It is easy to apologize for things done by others. It is much harder to apologize for your own mistakes.

#cdnpoli #Trudea…",42
BBC,0.6808,Fri Sep 07 20:26:48 +0000 2018,0.643,0.096,0.261,"RT @BBCSport: From winning the Super Bowl to facing massive jail time.

Mychal Kendricks is in big trouble.

Full story: https://t.co/qxFxx…",43
BBC,0.0,Fri Sep 07 20:26:46 +0000 2018,1.0,0.0,0.0,Giant plastic catcher heads for Pacific Ocean clean-up https://t.co/tou3xKH8Pt,44
BBC,0.0,Fri Sep 07 20:26:46 +0000 2018,1.0,0.0,0.0,RT @bbcnewsjapan: BBCニュース - 英仏「ホタテ戦争」が決着へ　両国が基本合意 https://t.co/vtpQSPW3oe,45
BBC,0.0,Fri Sep 07 20:26:46 +0000 2018,1.0,0.0,0.0,"RT @Cyberarms: This is a job for Spaccceeeee Forccceeeeeee! 😁
Russian spy satellite got close to a  Franco-Italian satellite and tried to i…",46
BBC,0.0,Fri Sep 07 20:26:45 +0000 2018,1.0,0.0,0.0,"RT @BBCPolitics: ""Brexitcast is going to take over #politicslive for a day on 21 September"" reveals @ChrisMasonBBC  https://t.co/NGAW7ti2rq…",47
BBC,0.0,Fri Sep 07 20:26:45 +0000 2018,1.0,0.0,0.0,"RT @hutchingsmusic: Hello #choralhour folks, a bit of news - in two weeks' time the BBC Singers will be performing one of my pieces in Lond…",48
BBC,0.7177,Fri Sep 07 20:26:44 +0000 2018,0.76,0.0,0.24,"RT @CarolineLucas: Brilliant to see BBC finally setting things straight! “To achieve impartiality, you do not need to include outright deni…",49
BBC,0.0,Fri Sep 07 20:26:43 +0000 2018,1.0,0.0,0.0,RT @beasiiqueiraa: Kkkkkkkkkk bbc https://t.co/Mndkmm8D0Z,50
BBC,0.0,Fri Sep 07 20:26:43 +0000 2018,1.0,0.0,0.0,"RT @gracedavies: Hey huns! I’m performing wolves at around 21:40 (I think) if you wanna time in. 

BBC livestream link below!!! https://t.c…",51
BBC,0.0,Fri Sep 07 20:26:42 +0000 2018,1.0,0.0,0.0,Por qué la América española se dividió en muchos países mientras que Brasil quedó en un solo país https://t.co/4SWwyusVpm,52
BBC,0.0,Fri Sep 07 20:26:40 +0000 2018,1.0,0.0,0.0,"I saw this on the BBC and thought you should see it:

कार्टून: बुलावे की टाइमिंग देखिए - https://t.co/JWTUdgEkNQ",53
BBC,0.25,Fri Sep 07 20:26:38 +0000 2018,0.917,0.0,0.083,"RT @Rainmaker1973: James Burke had only one chance to nail this scene. A clip from the 1978 BBC television show Connections, season 1, epis…",54
BBC,0.0,Fri Sep 07 20:26:38 +0000 2018,1.0,0.0,0.0,RT @SoleCollector: .@Pharrell and Adidas are releasing another @NERDarmy NMD Hu: https://t.co/hcIZ3Hrfk2 https://t.co/vbX6dJNmdj,55
BBC,-0.296,Fri Sep 07 20:26:37 +0000 2018,0.896,0.104,0.0,"RT @bbcmundo: ""La administración española se estableció alrededor de dos centros principales: México y Lima. Eso no sucedió en Brasil, dond…",56
BBC,-0.5423,Fri Sep 07 20:26:36 +0000 2018,0.821,0.179,0.0,"⤵ watch ⤵ 

https://t.co/XPo7pwsTGt 

doggy style porn amateur ass bbc big bigdick black sex xxx nsfw
#Big #Bigdick #Black",57
BBC,0.0,Fri Sep 07 20:26:35 +0000 2018,1.0,0.0,0.0,RT @kinokopowermx: 2 acontecimientos han azotado a Japón: 1 es el sismo que afectó la isla de Hokkaido (a más de 1000 km de Tokio) y del qu…,58
BBC,0.25,Fri Sep 07 20:26:35 +0000 2018,0.917,0.0,0.083,"RT @Rainmaker1973: James Burke had only one chance to nail this scene. A clip from the 1978 BBC television show Connections, season 1, epis…",59
BBC,0.0,Fri Sep 07 20:26:35 +0000 2018,1.0,0.0,0.0,"@Momomirooo طب افتحي اللينك و اقري اللي مكتوب
ال bbc معروف موقفها العدائي من مصر https://t.co/Xodc1VquyW",60
BBC,0.3182,Fri Sep 07 20:26:35 +0000 2018,0.777,0.0,0.223,100 Women: The truth behind the 'bra-burning' feminists https://t.co/PMwQLJBde9,61
BBC,0.0,Fri Sep 07 20:26:34 +0000 2018,1.0,0.0,0.0,RT @ikramcan40: İran Tahran'daki zirve'de Putin Erdoğan'ı azarladi: Bu masada DAIŞ temsilcisi yok dedi. Yani halk dilinde Erdoğan'a dedi ki…,62
BBC,0.6249,Fri Sep 07 20:26:34 +0000 2018,0.796,0.0,0.204,RT @NorthMonHistory: Teachers &amp; students studying Northern Ireland. Great for a discussion or research project. @CorkHTA @JctHistory #histe…,63
BBC,-0.4215,Fri Sep 07 20:26:33 +0000 2018,0.877,0.123,0.0,"RT @BBCSport: ""If we don't put this right we're going to have a chronic situation.""

The threats to England's football future: https://t.co…",64
BBC,-0.4939,Fri Sep 07 20:26:33 +0000 2018,0.811,0.189,0.0,RT @ParleyCharlie: @shazied @chelleryn99 @Channel4News They’ve fast become a propaganda arm of the @BBC and I suspect it’s due to Govt pres…,65
BBC,0.4404,Fri Sep 07 20:26:33 +0000 2018,0.884,0.0,0.116,@RobBurl Thanks for the reply and I retract my assumption. It is based on the BBC board being told by the Tory part… https://t.co/VG52KrTTtq,66
BBC,0.2023,Fri Sep 07 20:26:33 +0000 2018,0.816,0.0,0.184,RT @BBC1XMusicBot: Now Playing Davido - NWA Baby @iam_Davido https://t.co/BjXRBcYtqL,67
BBC,-0.2732,Fri Sep 07 20:26:32 +0000 2018,0.913,0.087,0.0,"RT @KenSustainable: This: “To achieve impartiality, you do not need to include outright deniers of climate change in BBC coverage, in the s…",68
BBC,-0.2732,Fri Sep 07 20:26:31 +0000 2018,0.851,0.149,0.0,BBC News - Divorce law: Ministers plan overhaul to cut 'antagonism' https://t.co/dCSKOnb8pg #nofaultdivorce… https://t.co/Wjftlqnlqi,69
BBC,0.0,Fri Sep 07 20:26:31 +0000 2018,1.0,0.0,0.0,RT @BBCSO: Count down to the Last Night of the @bbcproms is on and we can't wait! @BBCSingers @JessGillamSax @GeraldFinley #BBCSC Here are…,70
BBC,0.8442,Fri Sep 07 20:26:31 +0000 2018,0.664,0.0,0.336,@GigiEngle Well have a safe and great flight over to this  side of the pond...and do remember we have many accents… https://t.co/1GmIPZhGK8,71
BBC,-0.0258,Fri Sep 07 20:26:31 +0000 2018,0.753,0.126,0.121,"Commercial whaling has been effectively banned for more than 30 years, after some whales were driven almost to exti… https://t.co/4dNRKzgeqU",72
BBC,0.6124,Fri Sep 07 20:26:30 +0000 2018,0.688,0.083,0.228,RT @altweet_pet: Gateshead Millennium Bridge looking stunning lit up in honour of pioneering women who fought for equality &amp; the vote. A th…,73
BBC,0.0,Fri Sep 07 20:26:30 +0000 2018,1.0,0.0,0.0,That is such a spaniel thing to do... https://t.co/GfTieAWs3c,74
BBC,0.0,Fri Sep 07 20:26:27 +0000 2018,1.0,0.0,0.0,"RT @bbcbrasil: Em 2017, mais brasileiros foram ao Louvre, em Paris, do que ao Museu Nacional https://t.co/YVAyP5bMuf https://t.co/3IzBk3zJlr",75
BBC,0.25,Fri Sep 07 20:26:26 +0000 2018,0.917,0.0,0.083,"RT @Rainmaker1973: James Burke had only one chance to nail this scene. A clip from the 1978 BBC television show Connections, season 1, epis…",76
BBC,-0.4019,Fri Sep 07 20:26:25 +0000 2018,0.667,0.218,0.115,"Allow me to wade in, as a former pupil. Pointless, idiotic, money grab. https://t.co/7y1UO2mv0K",77
BBC,0.5574,Fri Sep 07 20:26:25 +0000 2018,0.69,0.0,0.31,RT @BBCWorld: Kavanaugh Supreme Court hearings: Five takeaways https://t.co/FJho4euD2B,78
BBC,0.0,Fri Sep 07 20:26:23 +0000 2018,1.0,0.0,0.0,"RT @BBCSportScot: An introduction to Oran Kearney, St Mirren's new manager...👇

➡️ https://t.co/3S48wMBUho https://t.co/OaGdXR8R9u",79
BBC,0.0,Fri Sep 07 20:26:22 +0000 2018,1.0,0.0,0.0,"RT @bbcmundo: La lengua de esta mujer se puso negra. ¿Cuál es la explicación?
https://t.co/U3fFOiAG9f",80
BBC,-0.7506,Fri Sep 07 20:26:21 +0000 2018,0.709,0.291,0.0,"RT @BBCSport: Anyone confused about what the Nations League actually is?

Worry no more.

We have an explainer for you.

https://t.co/cO8Lo…",81
BBC,0.0,Fri Sep 07 20:26:21 +0000 2018,1.0,0.0,0.0,RT @westfieldglenn1: The BBC involved in the production of this film. So why won’t they show it on the BBC. @BBC https://t.co/OLPciBpgTx,82
BBC,0.0,Fri Sep 07 20:26:21 +0000 2018,1.0,0.0,0.0,"RT @BBCPolitics: The PM can't ""keep dancing around the issues"" over #Brexit, says Jeremy Corbyn #PMQs https://t.co/MTFXGTc1B9 https://t.co/…",83
BBC,0.0,Fri Sep 07 20:26:21 +0000 2018,1.0,0.0,0.0,Kkkkkkkkkk bbc https://t.co/Mndkmm8D0Z,84
BBC,0.0,Fri Sep 07 20:26:20 +0000 2018,1.0,0.0,0.0,"RT @bbcturkce: Aladağ'da 11'i çocuk, 12 kişinin yaşamını yitirdiği yurt yangını davasında iki kişi tahliye edildi. Böylece tutuklu sanık ka…",85
BBC,0.4767,Fri Sep 07 20:26:20 +0000 2018,0.741,0.086,0.173,#Predator actor (another predator) is cut off from film that is shows in glorious realism unthinkable acts of viole… https://t.co/T6Amnz31H5,86
BBC,0.0,Fri Sep 07 20:26:20 +0000 2018,1.0,0.0,0.0,"La idea de que los millonarios que crean startups digitales son todos jóvenes recién salidos de la universidad, no… https://t.co/LGNdFgCeRq",87
BBC,0.0,Fri Sep 07 20:26:18 +0000 2018,1.0,0.0,0.0,RT @mistersoff: Just seen a #fridaynight drug deal live on the BBC 😆😆 https://t.co/KpRe689JCJ,88
BBC,0.25,Fri Sep 07 20:26:17 +0000 2018,0.917,0.0,0.083,"RT @Rainmaker1973: James Burke had only one chance to nail this scene. A clip from the 1978 BBC television show Connections, season 1, epis…",89
BBC,0.4588,Fri Sep 07 20:26:17 +0000 2018,0.889,0.0,0.111,"RT @Joanne_Lake: This fab BBC resource allows you to search TV listings for your birth date. Me: Doctor Who, Dad’s Army and World Cup Grand…",90
BBC,0.0,Fri Sep 07 20:26:17 +0000 2018,1.0,0.0,0.0,RT @Style4Soldiers: Emma Willis on her last visit to Headley Court prior to its closure on @bbcpointswest Interviewed by @Knibbsey @BBCNews…,91
BBC,0.5574,Fri Sep 07 20:26:16 +0000 2018,0.625,0.0,0.375,Kavanaugh Supreme Court hearings: Five takeaways https://t.co/FJho4euD2B,92
BBC,0.0,Fri Sep 07 20:26:16 +0000 2018,1.0,0.0,0.0,Halkan ka daawo barnaamijka caawa iyo caalamka ee Telefishinka BBC Somali 07 09 2018 https://t.co/3HZ9JnMXfH,93
BBC,0.3338,Fri Sep 07 20:26:15 +0000 2018,0.889,0.0,0.111,"RT @SpillerOfTea: You’re so close to a really fucking important breakthrough here, @BBCNews.

Take what you’ve learned about your climate c…",94
BBC,-0.1458,Fri Sep 07 20:26:14 +0000 2018,0.819,0.104,0.077,"RT @BBCiPlayer: So intense you’ll forget to breathe. Bodyguard.
Watch the series so far on BBC iPlayer.
https://t.co/CKlk2j7unv https://t.c…",95
BBC,0.25,Fri Sep 07 20:26:13 +0000 2018,0.917,0.0,0.083,"RT @Rainmaker1973: James Burke had only one chance to nail this scene. A clip from the 1978 BBC television show Connections, season 1, epis…",96
BBC,0.25,Fri Sep 07 20:26:12 +0000 2018,0.917,0.0,0.083,"RT @Rainmaker1973: James Burke had only one chance to nail this scene. A clip from the 1978 BBC television show Connections, season 1, epis…",97
BBC,0.0,Fri Sep 07 20:26:11 +0000 2018,1.0,0.0,0.0,"RT @nja5: Who run the BBC, a bunch of millionaires, who do the right wing Tories look after millionaires that's why they are constantly cri…",98
BBC,0.0,Fri Sep 07 20:26:11 +0000 2018,1.0,0.0,0.0,https://t.co/XfMJSd581U,99
BBC,-0.7165,Fri Sep 07 20:26:11 +0000 2018,0.828,0.172,0.0,"RT @HistoryHit: One of the most famous murder cases of the 20th century is undoubtedly that of Grigori Rasputin in 1916. But, even today, t…",100
CBS,-0.5267,Fri Sep 07 20:27:11 +0000 2018,0.773,0.227,0.0,"RT @Buccaneers: Corners Brent Grimes and De'Vante Harris are designated as doubtful for Sunday's game.

#GoBucs
https://t.co/je3nmGLSil",1
CBS,-0.34,Fri Sep 07 20:27:09 +0000 2018,0.862,0.138,0.0,Midterm elections blue wave looking doubtful https://t.co/tMptwIE5ZV #Democrats could have spent the time to rebuil… https://t.co/ekMtPJpfUP,2
CBS,-0.3818,Fri Sep 07 20:27:05 +0000 2018,0.536,0.464,0.0,@DeadlineDominic @CBS @David_Boreanaz Crap.,3
CBS,0.0,Fri Sep 07 20:27:00 +0000 2018,1.0,0.0,0.0,RT @bess_shannon: @DanielGoddard @YRInsider @YandR_CBS @CNNFreedom @AFJustice @soapsindepthcbs @soapsindepthabc @ChristelAdnana @LaneArmy @…,4
CBS,0.128,Fri Sep 07 20:26:59 +0000 2018,0.722,0.129,0.148,"RT @VanityFair: Following her wardrobe malfunction at the 2004 Super Bowl, embattled CBS chief Les Moonves reportedly wanted to sabotage th…",5
CBS,0.5994,Fri Sep 07 20:26:58 +0000 2018,0.83,0.0,0.17,"RT @rolandsmartin: Les Moonves, the CBS chief executive, believed the infamous Super Bowl wardrobe malfunction was deliberate, and was inte…",6
CBS,0.3182,Fri Sep 07 20:26:44 +0000 2018,0.892,0.0,0.108,@LetsTalkSoaps B4 the internet fans personally wrote letters to the producers or fan clubs in regards to their favo… https://t.co/J6JKdoSWbp,7
CBS,0.802,Fri Sep 07 20:26:28 +0000 2018,0.699,0.0,0.301,"@squigles92 @Ally__Mack Certainly need cbs, surely he should of put out his strongest 11 to practice for Monday which is a massive game?",8
CBS,0.0,Fri Sep 07 20:26:25 +0000 2018,1.0,0.0,0.0,@adrianstripped @Crispy829 @Laurita_Q11 @lgb1060 @shellBB_1 @BandB_CBS U would think so,9
CBS,0.0,Fri Sep 07 20:26:19 +0000 2018,1.0,0.0,0.0,@TheView @laurilhoganABC Deleted abc from my TV remote. #savethechew @abc15 @thechew @ABCNetwork @CBS @nbc,10
CBS,0.5994,Fri Sep 07 20:26:10 +0000 2018,0.804,0.0,0.196,CBS CEO Les Moonves reportedly sought to ‘ruin’ Janet Jackson’s career after Super Bowl ‘wardrobe mal… https://t.co/R8N6efZK4T,11
CBS,-0.5574,Fri Sep 07 20:26:06 +0000 2018,0.763,0.237,0.0,"@LeahRBoss YTD 2018, 135 officers lost their lives. Some died in traffic accidents, but nearly half were shot to de… https://t.co/TGejGcG2w7",12
CBS,0.0,Fri Sep 07 20:25:51 +0000 2018,1.0,0.0,0.0,"RT @WValderrama: September 25th we are back on @CBS 
And everyone relax.. I am sitting down.. (I am taller in person! Hahaha) https://t.co/…",13
CBS,0.0772,Fri Sep 07 20:25:45 +0000 2018,0.949,0.0,0.051,RT @Mirjam152: In Nederland stijgen de prijzen meer dan elders in de EU. Prima. Want onze lonen rijzen de pan uit en de lastenverlichting d…,14
CBS,-0.1027,Fri Sep 07 20:25:44 +0000 2018,0.887,0.113,0.0,"I pay for Live feeds, not reels all day, come on #cbs #BB20",15
CBS,0.0,Fri Sep 07 20:25:43 +0000 2018,1.0,0.0,0.0,RT @iamSeyli: Wsh elle va accoucher d’un T-max la https://t.co/tHtYTtL3RX,16
CBS,0.3612,Fri Sep 07 20:25:43 +0000 2018,0.839,0.0,0.161,"RT @Bengals: We're ready. Are you? #SeizeTheDEY

#CINvsIND - 9/9 1pm ET - 📺: CBS https://t.co/WPAhb0vXEs",17
CBS,0.0,Fri Sep 07 20:25:39 +0000 2018,1.0,0.0,0.0,@alley167 @shelleybill @CNN @CBS @MSNBC @realDonaldTrump That's why these news networks are at the bottom in ratings.,18
CBS,0.0,Fri Sep 07 20:25:30 +0000 2018,1.0,0.0,0.0,"Unusual Calls 

$BUD $CMCSA $CBS $ENDP $ETE $GDEN $EWZ $EXP",19
CBS,0.0,Fri Sep 07 20:25:27 +0000 2018,1.0,0.0,0.0,"@CGasparino @elonmusk @cheechandchong @CBS Mother talkin to me,

Try ta tell me how to live.

Da da da, da da da, d… https://t.co/KjiiIoN8gT",20
CBS,0.8655,Fri Sep 07 20:25:23 +0000 2018,0.717,0.0,0.283,"RT @Charmed_Reunion: CBS has officially renewed the license of the #CHARMED theme song ""How Soon Is Now?"" by Love Spit Love! Season 3 in it…",21
CBS,0.0258,Fri Sep 07 20:25:18 +0000 2018,0.688,0.154,0.158,RT @TheRoot: CBS executive Les Moonves reportedly tried to ruin Janet Jackson’s career after ’04 Super Bowl: https://t.co/HWgeqV5pz2 https:…,22
CBS,0.837,Fri Sep 07 20:24:52 +0000 2018,0.469,0.0,0.531,"RT @Tjsweetsong: WOW @CBS RELEASED THIS! I’m impressed 
https://t.co/kp70ls4Yob",23
CBS,-0.3182,Fri Sep 07 20:24:51 +0000 2018,0.881,0.119,0.0,"@Crispy829 @adrianstripped @Laurita_Q11 @shellBB_1 @BandB_CBS My thoughts too. She lost me the day she told  Zoe, ""… https://t.co/VfEIGspqSl",24
CBS,0.1655,Fri Sep 07 20:24:51 +0000 2018,0.916,0.0,0.084,"@qastor @SCSportsNetwork @ACashwell Baker and wilson yea they have experience for sure, but their other cbs are all… https://t.co/9vs2WcACqe",25
CBS,0.0,Fri Sep 07 20:24:46 +0000 2018,1.0,0.0,0.0,RT @TVLine: .@SophiaBush to Headline Spy Drama #Surveillance in Development at CBS https://t.co/9MVX0hZh9z https://t.co/VCkZSR3RRs,26
CBS,0.0,Fri Sep 07 20:24:41 +0000 2018,1.0,0.0,0.0,RT @TVLine: #ChicagoPD alumna @SophiaBush is set to star in CBS’ in-the-works spy drama #Surveillance: https://t.co/9MVX0hZh9z https://t.co…,27
