Organization,Compound,Date,Negative,Neutral,Positive,Text,Tweets
CBS,0.4404,Fri Sep 07 20:24:40 +0000 2018,0.838,0.0,0.162,@StarTrekOT @ClassKlingon @RandomMnky @Robbins17Chris @doomcock @simeyowen I hope it pans out and it does seam logi… https://t.co/5ftHAhxhRS,28
CBS,0.6369,Fri Sep 07 20:24:38 +0000 2018,0.84,0.0,0.16,"Jim Nantz's presence at a game indicates it's the best thing that CBS has going on any given NFL Sunday, and that i… https://t.co/w2JI5VN8px",29
CBS,0.0,Fri Sep 07 20:24:32 +0000 2018,1.0,0.0,0.0,"RT @JANETbrsite: Fontes dizem que o executivo da CBS, Leslie Moonves, era obcecado por destruir a carreira de Janet Jackson porque, ao cont…",30
CBS,0.0865,Fri Sep 07 20:24:31 +0000 2018,0.934,0.0,0.066,"RT @jodikantor: To everyone who predicted that the allegations against Les Moonves would have little impact, here's a scoop from @edmundlee…",31
CBS,0.0258,Fri Sep 07 20:24:27 +0000 2018,0.688,0.154,0.158,RT @TheRoot: CBS executive Les Moonves reportedly tried to ruin Janet Jackson’s career after ’04 Super Bowl: https://t.co/HWgeqV5pz2 https:…,32
CBS,0.0,Fri Sep 07 20:24:25 +0000 2018,1.0,0.0,0.0,@KingMinos777 @ginatognoni @YandR_CBS @CBSDaytime Phyllis will look out for billy #YR,33
CBS,0.1779,Fri Sep 07 20:24:11 +0000 2018,0.728,0.123,0.149,RT @AFirm4Creatives: Haters: CBS head Les Moonves was behind the Janet Jackson blackballing after Super Bowl malfunction and targeted her f…,34
CBS,0.6808,Fri Sep 07 20:24:11 +0000 2018,0.772,0.0,0.228,"RT @Nebula_GOTG_17: I wish the media would make better choices.

Ex: instead of overblowing the 'fallout' re: Nike, you all could've focuse…",35
CBS,0.128,Fri Sep 07 20:24:06 +0000 2018,0.711,0.134,0.154,Les Moonves Reportedly Tried to Sabotage Janet Jackson’s Career After Super Bowl ‘Nip Slip’: CBS head Les Moonves a… https://t.co/ik2lG4NSXl,36
CBS,0.5994,Fri Sep 07 20:24:01 +0000 2018,0.83,0.0,0.17,"RT @rolandsmartin: Les Moonves, the CBS chief executive, believed the infamous Super Bowl wardrobe malfunction was deliberate, and was inte…",37
CBS,-0.5267,Fri Sep 07 20:24:01 +0000 2018,0.827,0.129,0.043,RT @axavier__: Les Moonves targeted Janet Jackson because she was a black female who he felt owed him an apology. @CBS you all are shit for…,38
CBS,0.0,Fri Sep 07 20:23:58 +0000 2018,1.0,0.0,0.0,"RT @GossipRoomOff: Sophia Bush sera de retour dans #Surveillance, une nouvelle série CBS d'espionnage où elle interprétera une charmante re…",39
CBS,-0.3612,Fri Sep 07 20:23:58 +0000 2018,0.857,0.143,0.0,RT @Missjen325: @KingMinos777 @lirabobeera @ginatognoni @YandR_CBS Lots and lots of money . Kyle paying her debt #YR,40
CBS,0.802,Fri Sep 07 20:23:56 +0000 2018,0.294,0.0,0.706,@SandersMichi @YandR_CBS Best response haha,41
CBS,0.5386,Fri Sep 07 20:23:55 +0000 2018,0.656,0.096,0.248,@KingMinos777 @ginatognoni @YandR_CBS @CBSDaytime Phyllis is not stupid Phyllis know when someone is up to no good #YR,42
CBS,0.0,Fri Sep 07 20:23:55 +0000 2018,1.0,0.0,0.0,@YandR_CBS John Abbott,43
CBS,-0.6597,Fri Sep 07 20:23:54 +0000 2018,0.714,0.286,0.0,RT @Missjen325: @KingMinos777 @lirabobeera @ginatognoni @YandR_CBS She work with the devil #YR,44
CBS,0.1326,Fri Sep 07 20:23:53 +0000 2018,0.596,0.18,0.224,@YandR_CBS John. The Abbotts shouldn't be destroyed like this.,45
CBS,-0.5859,Fri Sep 07 20:23:50 +0000 2018,0.817,0.183,0.0,RT @WWLTV: CBS CEO Les Moonves Reportedly Looked To Ruin Janet Jackson's Career After Wardrobe Malfunction https://t.co/iL7pA9kKVN https://…,46
CBS,0.0,Fri Sep 07 20:23:50 +0000 2018,1.0,0.0,0.0,RT @DEADLINE: CBS Stock Climbs 3% Again As Les Moonves Watch Continues https://t.co/h476qMRnTt https://t.co/4ckC57cO2m,47
CBS,0.4404,Fri Sep 07 20:23:44 +0000 2018,0.861,0.0,0.139,RT @AAAIceBreakers: Thanks Twin Rinks for the first 2 skates. Next 3 skates up the shore in CBS. #shortbenchlongskate #playingwell #newyear…,48
CBS,0.0258,Fri Sep 07 20:23:37 +0000 2018,0.688,0.154,0.158,RT @TheRoot: CBS executive Les Moonves reportedly tried to ruin Janet Jackson’s career after ’04 Super Bowl: https://t.co/HWgeqV5pz2 https:…,49
CBS,0.5093,Fri Sep 07 20:23:37 +0000 2018,0.859,0.0,0.141,"RT @Croche_Pat: - Allez arrête de pleurer Quentin.
- C’était mon cordon bleu !
- Mais c’est ça le prélèvement à la source mon grand. Allez…",50
CBS,0.5994,Fri Sep 07 20:23:29 +0000 2018,0.83,0.0,0.17,RT @shadowandact: CBS head #LesMoonves was behind the #JanetJackson blackballing after Super Bowl malfunction and targeted her for years ht…,51
CBS,0.1779,Fri Sep 07 20:23:26 +0000 2018,0.816,0.08,0.105,RT @reptomcoleman: Recall when Les Moonves told his CBS affiliates something to the effect: Trump may be bad for America but he sure is goo…,52
CBS,-0.4735,Fri Sep 07 20:23:22 +0000 2018,0.616,0.276,0.108,@sullivanradio The talk of a deal for Les Moonves to leave CBS is disgusting. I don't agree with punishment without… https://t.co/0XeHVMteyX,53
CBS,0.0,Fri Sep 07 20:23:21 +0000 2018,1.0,0.0,0.0,RT @Missjen325: @KingMinos777 @MelissaOrdway @YandR_CBS @CBSDaytime You are and always will be a abbott its in your genes. You grew up as a…,54
CBS,0.0,Fri Sep 07 20:23:15 +0000 2018,1.0,0.0,0.0,"RT @NCIS_CBS: We can't get enough of @BrianDietzen, so we cloned him for this photo... 😂 This @CBSWatch gallery of #NCIS stars is just so e…",55
CBS,0.0,Fri Sep 07 20:23:14 +0000 2018,1.0,0.0,0.0,@Crispy829 @Laurita_Q11 @lgb1060 @shellBB_1 @BandB_CBS Because they're used to being who they are.,56
CBS,0.0,Fri Sep 07 20:23:11 +0000 2018,1.0,0.0,0.0,The day Ross Brittain and I met the Jerky Boys on Z100.. as chronicled on CBS TV! https://t.co/VBRrV2nE15,57
CBS,0.5106,Fri Sep 07 20:23:10 +0000 2018,0.752,0.0,0.248,RT @Missjen325: @KingMinos777 @YandR_CBS @CBSDaytime @CityOfLasVegas Let the fun begin . #YR,58
CBS,0.0,Fri Sep 07 20:23:07 +0000 2018,1.0,0.0,0.0,RT @violainefourni2: @SameSexLov @malyoung @AngelicaMcD @CBSDaytime @caitfairbanks @YandR_CBS @camryngrimes not me never,59
CBS,0.0,Fri Sep 07 20:23:01 +0000 2018,1.0,0.0,0.0,RT @Missjen325: @KingMinos777 @ginatognoni @MyJasonThompson @YandR_CBS Phyllis is standing by her man ❤,60
CBS,-0.6597,Fri Sep 07 20:22:58 +0000 2018,0.672,0.328,0.0,@KingMinos777 @lirabobeera @ginatognoni @YandR_CBS She work with the devil #YR,61
CBS,0.0,Fri Sep 07 20:22:55 +0000 2018,1.0,0.0,0.0,@YandR_CBS It’s victor,62
CBS,0.1779,Fri Sep 07 20:22:53 +0000 2018,0.805,0.084,0.111,Saw there is a new #MagnumPI this fall on @CBS and here on @CTV Until the star grows a good Mustache I refuse to wa… https://t.co/NZtMQtBdx2,63
CBS,0.0,Fri Sep 07 20:22:53 +0000 2018,1.0,0.0,0.0,@YandR_CBS John Abbott Victor switched the tests,64
CBS,0.0,Fri Sep 07 20:22:49 +0000 2018,1.0,0.0,0.0,@Nebula_GOTG_17 @StormResist @CBS @ABC @CNN https://t.co/6NV4XHCOfA,65
CBS,0.4215,Fri Sep 07 20:22:47 +0000 2018,0.887,0.0,0.113,"RT @vintagewingnut: Just checked the CBS website and the reviews are in. The average rating for entertainment, drama &amp; intrigue on the feed…",66
CBS,0.0,Fri Sep 07 20:22:46 +0000 2018,1.0,0.0,0.0,@Crispy829 @Laurita_Q11 @lgb1060 @shellBB_1 @BandB_CBS She's does a bit psycho😂😂,67
CBS,0.3291,Fri Sep 07 20:22:46 +0000 2018,0.907,0.0,0.093,"RT @TVtater: I see some on  here happy that CBS might be making some executive changes, but that also might mean new executives don’t value…",68
CBS,0.6808,Fri Sep 07 20:22:32 +0000 2018,0.772,0.0,0.228,"RT @Nebula_GOTG_17: I wish the media would make better choices.

Ex: instead of overblowing the 'fallout' re: Nike, you all could've focuse…",69
CBS,0.0,Fri Sep 07 20:22:30 +0000 2018,1.0,0.0,0.0,@YandR_CBS Can be only John Abbott think we need a cameo from him 2 confirm that,70
CBS,-0.3612,Fri Sep 07 20:22:30 +0000 2018,0.839,0.161,0.0,@KingMinos777 @lirabobeera @ginatognoni @YandR_CBS Lots and lots of money . Kyle paying her debt #YR,71
CBS,0.0701,Fri Sep 07 20:22:29 +0000 2018,0.685,0.15,0.165,@lgb1060 @Crispy829 @Laurita_Q11 @shellBB_1 @BandB_CBS I don't care for her and I hope Zoe gets Xander.,72
CBS,0.0,Fri Sep 07 20:22:28 +0000 2018,1.0,0.0,0.0,"RT @TxDOTELP: Mall Braided Ramps Project Closures: Sunday, Sept. 9, 9pm-5am. Gateway Blvd EB complete frontage road closure between Airway…",73
CBS,-0.34,Fri Sep 07 20:22:26 +0000 2018,0.769,0.231,0.0,"@YandR_CBS Victor messed with the results, it's John Abbott",74
CBS,0.1779,Fri Sep 07 20:22:23 +0000 2018,0.705,0.133,0.162,Haters: CBS head Les Moonves was behind the Janet Jackson blackballing after Super Bowl malfunction and targeted he… https://t.co/neGF80BBY8,75
CBS,0.0,Fri Sep 07 20:22:22 +0000 2018,1.0,0.0,0.0,@CNN @MSNBC @TheView @CBS are you reporting this?? #REALNEWS https://t.co/Njx8ZDyzQb,76
CBS,0.0,Fri Sep 07 20:22:20 +0000 2018,1.0,0.0,0.0,"RT @GossipRoomOff: Sophia Bush sera de retour dans #Surveillance, une nouvelle série CBS d'espionnage où elle interprétera une charmante re…",77
CBS,0.6988,Fri Sep 07 20:22:13 +0000 2018,0.676,0.0,0.324,@BandB_CBS I love these two together!! 😍 they need more of a storyline.  ❤❤💕,78
CBS,0.0,Fri Sep 07 20:22:11 +0000 2018,1.0,0.0,0.0,@DanielGoddard @YRInsider @YandR_CBS @CNNFreedom @AFJustice @soapsindepthcbs @soapsindepthabc @ChristelAdnana… https://t.co/KGDc3lGlPg,79
CBS,-0.1531,Fri Sep 07 20:22:08 +0000 2018,0.649,0.206,0.145,"RT @Shakestweetz: Wow this fucking guy. ""Former CBS anchor Charlie Rose filed a motion Friday to dismiss a sexual harassment lawsuit brough…",80
CBS,0.0,Fri Sep 07 20:22:05 +0000 2018,0.777,0.112,0.112,"Hey @foundersbrewing. I think the horse lost its Canadian Mountie, eh? So you’re bottling CBS again? Please bottle… https://t.co/zGDzWOyTe7",81
CBS,0.5994,Fri Sep 07 20:22:05 +0000 2018,0.813,0.0,0.187,RT @thefader: CBS chief executive was reportedly fixated on “ruining” Janet Jackson’s career after Super Bowl incident. https://t.co/soigFb…,82
CBS,0.34,Fri Sep 07 20:21:55 +0000 2018,0.888,0.0,0.112,"RT @lovingseries: CBS se ha hecho con #Surveillance, un nuevo drama para la próxima temporada protagonizado por Sophia Bush. https://t.co/x…",83
CBS,-0.5267,Fri Sep 07 20:21:54 +0000 2018,0.796,0.155,0.049,"I suppose being on CBS, it was only a matter of time before ""The Price Is Right"" became a gritty crime drama. https://t.co/Bbn2DLeI85",84
CBS,0.3818,Fri Sep 07 20:21:53 +0000 2018,0.874,0.0,0.126,@Crispy829 @Laurita_Q11 @lgb1060 @shellBB_1 @BandB_CBS It is. Donna and Brooke are best at it but history shows tha… https://t.co/suPtcP2QOH,85
CBS,0.3612,Fri Sep 07 20:21:51 +0000 2018,0.898,0.0,0.102,RT @TheTalkCBS: WATCH: Chef @joeisidori is heating things up and showing the ladies some of his signature dishes. Who’s ready for some Texa…,86
CBS,-0.296,Fri Sep 07 20:21:48 +0000 2018,0.909,0.091,0.0,RT @jsn2007: 48 Hours Premiered ‘A Brother’s Mission’ on CBS: Claudia Hoerig Stands Accused of Gunning Down Husband Karl &amp; Fleeing to Brazi…,87
CBS,0.5994,Fri Sep 07 20:21:47 +0000 2018,0.83,0.0,0.17,"RT @rolandsmartin: Les Moonves, the CBS chief executive, believed the infamous Super Bowl wardrobe malfunction was deliberate, and was inte…",88
CBS,0.0,Fri Sep 07 20:21:37 +0000 2018,1.0,0.0,0.0,https://t.co/QkDctOsKE5,89
CBS,-0.5267,Fri Sep 07 20:21:34 +0000 2018,0.845,0.155,0.0,"Deviam exibir o vsfs esse ano através de uma Live no Instagram, ao invés da CBS, só tem insta model mesmo, é bom que fica no habitat delas.",90
CBS,0.6239,Fri Sep 07 20:21:33 +0000 2018,0.825,0.0,0.175,There's some rain in west #ElPaso be sure to let us know what it looks like in your neck of the woods! Send us pict… https://t.co/KtrJsBE2Gd,91
CBS,0.5106,Fri Sep 07 20:21:28 +0000 2018,0.752,0.0,0.248,@KingMinos777 @MelissaOrdway @YandR_CBS @CBSDaytime Abby to the rescue . she a genius #YR,92
CBS,0.2023,Fri Sep 07 20:21:25 +0000 2018,0.746,0.11,0.145,this sucks: im have too much fun doing pot smoking @elonmusk imitations and singing @cheechandchong songs to start… https://t.co/4aZxBWVnmi,93
CBS,0.5994,Fri Sep 07 20:21:24 +0000 2018,0.813,0.0,0.187,"Les Moonves, the CBS chief executive, believed the infamous Super Bowl wardrobe malfunction was deliberate, and was… https://t.co/ikm3TqGnac",94
CBS,0.0,Fri Sep 07 20:21:20 +0000 2018,1.0,0.0,0.0,@ZachHanley2 you wouldn’t know what games are being televised  this Sunday on both channels CBS and Fox? In hospita… https://t.co/E8k6uapOaf,95
CBS,0.0,Fri Sep 07 20:21:06 +0000 2018,1.0,0.0,0.0,CBS Stock Climbs 3% Again As Les Moonves Watch Continues https://t.co/h476qMRnTt https://t.co/4ckC57cO2m,96
CBS,0.5994,Fri Sep 07 20:21:05 +0000 2018,0.813,0.0,0.187,RT @thefader: CBS chief executive was reportedly fixated on “ruining” Janet Jackson’s career after Super Bowl incident. https://t.co/soigFb…,97
CBS,0.5719,Fri Sep 07 20:21:04 +0000 2018,0.821,0.0,0.179,"RT @CBSWatch: Calling all Baby Girls. Here's your daily dose of happy 👉 https://t.co/tbhjtyMzCi 

#CBS #CBSWatch 

📸 by @Kwakualston https:…",98
CBS,0.0,Fri Sep 07 20:21:03 +0000 2018,1.0,0.0,0.0,RT @bess_shannon: @DanielGoddard @YRInsider @YandR_CBS @CNNFreedom @AFJustice @soapsindepthcbs @soapsindepthabc @ChristelAdnana @LaneArmy @…,99
CBS,0.0,Fri Sep 07 20:21:03 +0000 2018,1.0,0.0,0.0,RT @sbberthoumieux: @BandB_CBS Brooke... you need to back off. Why didn’t Ridge hear this??,100
CNN,0.7644,Fri Sep 07 20:27:14 +0000 2018,0.577,0.0,0.423,@RawStory Wow! cnn's been on the air like a REALLY long time.,1
CNN,0.0,Fri Sep 07 20:27:14 +0000 2018,1.0,0.0,0.0,"RT @CNNEE: Los científicos dicen que la estructura de nubes hexagonales sobre Saturno podría tener cientos de kilómetros de altura.
https:/…",2
CNN,0.0,Fri Sep 07 20:27:14 +0000 2018,1.0,0.0,0.0,RT @JohnWDean: On my way to testify at the Kavanaugh confirmation hearings I have been doing 2 or 3 CNN shows each day to talk about the ch…,3
CNN,-0.7184,Fri Sep 07 20:27:13 +0000 2018,0.647,0.353,0.0,RT @SocialPowerOne1: Extreme anti-immigration GOP congressman in danger of losing his seat https://t.co/y5MExAJs0T,4
CNN,-0.3384,Fri Sep 07 20:27:13 +0000 2018,0.752,0.15,0.098,"RT @activist360: Dear @CNN, @MSNBC: Just as you covered the speeches of the most dishonest, depraved and corrupt president in American hist…",5
CNN,-0.0772,Fri Sep 07 20:27:13 +0000 2018,0.404,0.313,0.283,"@CNN Lol, what could go wrong?",6
CNN,0.0,Fri Sep 07 20:27:13 +0000 2018,1.0,0.0,0.0,@GOP @SenateGOP @ThomTillis @ChuckGrassley @SenMikeLee @KamalaHarris grills #BrettKavanaugh on… https://t.co/IFtlXPccSi,7
CNN,0.0,Fri Sep 07 20:27:13 +0000 2018,0.755,0.122,0.122,"RT @CNN: Former President Obama, encouraging young people to vote: “What’s gonna fix our democracy is you… The threat to our democracy does…",8
CNN,0.0,Fri Sep 07 20:27:13 +0000 2018,1.0,0.0,0.0,RT @CNN: A Facebook employee with ties to Cambridge Analytica leaves the company https://t.co/CbeDTVAAey https://t.co/WdYutfGcBv,9
CNN,0.4588,Fri Sep 07 20:27:13 +0000 2018,0.84,0.0,0.16,"RT @AC360: Former President Obama: “Don’t tell me your vote doesn’t matter… and if you thought elections don’t matter, I hope these last tw…",10
CNN,0.0,Fri Sep 07 20:27:12 +0000 2018,1.0,0.0,0.0,"RT @CNN: ""What happened to the Republican Party?""

""It did not start with Donald Trump, he is a symptom, not the cause.""

Here are 10 of Ob…",11
CNN,0.0,Fri Sep 07 20:27:12 +0000 2018,1.0,0.0,0.0,"RT @Paddideh: The severity and degrees of corruption in Iran is extreme, combining that with lawlessness and the immunity of regime's corru…",12
CNN,-0.6705,Fri Sep 07 20:27:12 +0000 2018,0.744,0.256,0.0,RT @TomFitton: Fake tweet. @CNN allowed Lanny Davis to deny he was a source when CNN knew otherwise. https://t.co/CW2Z1Z4iWt,13
CNN,0.4588,Fri Sep 07 20:27:12 +0000 2018,0.84,0.0,0.16,"RT @CNN: Former President Obama: “Don’t tell me your vote doesn’t matter… and if you thought elections don’t matter, I hope these last two…",14
CNN,0.0,Fri Sep 07 20:27:12 +0000 2018,1.0,0.0,0.0,RT @CNN: Donald Trump is floating impeachment to rev up his base. Here's why that's still a stretch. | Analysis by CNN's Z. Byron Wolf http…,15
CNN,0.1481,Fri Sep 07 20:27:12 +0000 2018,0.813,0.081,0.106,"RT @Timcast: CNN Reporter repeatedly posts and writes about Alex Jones not being banned.

Jones confronts CNN reporter

Twitter permabans J…",16
CNN,0.3612,Fri Sep 07 20:27:12 +0000 2018,0.902,0.0,0.098,"RT @kazweida: President Obama came to this speech ready to rumble.

This was the throwing of a gauntlet.
He didn't just mention Trump by na…",17
CNN,0.0,Fri Sep 07 20:27:12 +0000 2018,1.0,0.0,0.0,"RT @JoeConchaTV: On the cable news front, Fox News, MSNBC and CNN all covered former President Obama's speech on Friday. On Thursday night,…",18
CNN,0.0,Fri Sep 07 20:27:12 +0000 2018,0.746,0.127,0.127,"RT @LawyerRogelio: Former President Obama, encouraging young people to vote: “What’s gonna fix our democracy is you… The threat to our demo…",19
CNN,0.0,Fri Sep 07 20:27:11 +0000 2018,1.0,0.0,0.0,"RT @Raymond_Norman: Elon Musk smokes marijuana on podcast

https://t.co/1aORBEw7XV",20
CNN,0.0,Fri Sep 07 20:27:10 +0000 2018,1.0,0.0,0.0,RT @jaketapper: Papadopoulos' attorney says Trump 'hindered investigation' @CNNPolitics https://t.co/dijA7vcRL2,21
CNN,0.4588,Fri Sep 07 20:27:10 +0000 2018,0.84,0.0,0.16,"RT @AC360: Former President Obama: “Don’t tell me your vote doesn’t matter… and if you thought elections don’t matter, I hope these last tw…",22
CNN,-0.6103,Fri Sep 07 20:27:10 +0000 2018,0.734,0.266,0.0,@CNN Nothing fishy at... OW!  Hurt my head with that eye roll!,23
CNN,0.4019,Fri Sep 07 20:27:09 +0000 2018,0.863,0.0,0.137,RT @mtracey: Twitter and CNN's Oliver Darcy both announced the Alex Jones news at precisely 4:47pm. Interesting https://t.co/upztVK7QBL,24
CNN,-0.802,Fri Sep 07 20:27:09 +0000 2018,0.735,0.265,0.0,RT @MarkDice: Alex Jones has just been permanently banned from Twitter.   For what?  Telling CNN's Oliver Darcy he's a scumbag to his face…,25
CNN,-0.5994,Fri Sep 07 20:27:09 +0000 2018,0.698,0.302,0.0,"After Anthony Bourdain's death, 'Parts Unknown' enters uncharted territory https://t.co/foMuQRtBUE",26
CNN,0.4588,Fri Sep 07 20:27:09 +0000 2018,0.84,0.0,0.16,"RT @AC360: Former President Obama: “Don’t tell me your vote doesn’t matter… and if you thought elections don’t matter, I hope these last tw…",27
CNN,-0.4939,Fri Sep 07 20:27:08 +0000 2018,0.862,0.138,0.0,"RT @CNN: Former President Obama, referring to “people who are genuinely... fearful of change” during speech at University of Illinois: “It…",28
CNN,0.0,Fri Sep 07 20:27:08 +0000 2018,1.0,0.0,0.0,RT @Koltonhix: Scott’s tots 2.0 https://t.co/rWP4W6A37o,29
CNN,0.4466,Fri Sep 07 20:27:08 +0000 2018,0.887,0.0,0.113,RT @CNN: Former President Obama: “The claim that everything will turn out OK because there are people inside the White House who secretly a…,30
CNN,0.0,Fri Sep 07 20:27:07 +0000 2018,1.0,0.0,0.0,@CNN https://t.co/0htBoKot7M,31
CNN,-0.7096,Fri Sep 07 20:27:06 +0000 2018,0.781,0.219,0.0,"RT @LeeSmithDC: ‘How hard can that be, saying Nazis are bad,’ asks US president who blinked when a genocidal despot killed half a million i…",32
CNN,-0.2263,Fri Sep 07 20:27:06 +0000 2018,0.757,0.139,0.104,"RT @SteveSGoddard: Dear America,

All that stuff about Russia collusion and everything else bad we said about President Trump was #FakeNews…",33
CNN,0.0,Fri Sep 07 20:27:05 +0000 2018,1.0,0.0,0.0,Corker on NYT op-ed: Who wouldn't write it? @CNNPolitics https://t.co/cyMp3dMnz2,34
CNN,-0.5106,Fri Sep 07 20:27:05 +0000 2018,0.87,0.13,0.0,"RT @Paddideh: Examples of extreme poverty and economic mismanagement by Mullahs' regime in the past 39 years, these schools in south east o…",35
CNN,0.0,Fri Sep 07 20:27:04 +0000 2018,1.0,0.0,0.0,RT @M_Simonyan: Экс-обозревательница CNN и экс-обозревательница FOX News Скотти Нелл Хьюз пришла к нам на RT America работать. У американск…,36
CNN,0.0,Fri Sep 07 20:27:04 +0000 2018,1.0,0.0,0.0,"RT @CNNEE: Cadena de sismos en el Pacífico de América en pocos minutos
• Panamá https://t.co/2JcA4vhCa0
• Ecuador https://t.co/EraRWOOBkB
•…",37
CNN,0.0,Fri Sep 07 20:27:04 +0000 2018,1.0,0.0,0.0,"RT @CNN: Missouri's College of the Ozarks is dropping Nike over the Colin Kaepernick ad, saying it's choosing ""country over company"" https:…",38
CNN,-0.7855,Fri Sep 07 20:27:04 +0000 2018,0.614,0.386,0.0,"MORE, SERIOUS TRUMP PRESSURE TO GET NAME OF INSIDER, WHITE HOUSE SABOTEURS. https://t.co/ybiYHomPOc",39
CNN,0.0,Fri Sep 07 20:27:03 +0000 2018,1.0,0.0,0.0,"RT @CNNEE: ÚLTIMA HORA 
La economía de EE.UU. sumó 201.000 empleos en agosto https://t.co/yM3x45xceq https://t.co/RsrQJabd2i",40
CNN,0.6331,Fri Sep 07 20:27:03 +0000 2018,0.828,0.0,0.172,RT @Ikelaru: Notice our Native American brothers &amp; sisters aren't there because they are way smarter than this fork tounged jackass!!!!#Nat…,41
CNN,0.909,Fri Sep 07 20:27:03 +0000 2018,0.639,0.0,0.361,"RT @Genesis33K: I see Liberals who think they won!

They walk the earth like they won. They don't know they lost!

I see most of them on @C…",42
CNN,-0.2023,Fri Sep 07 20:27:02 +0000 2018,0.844,0.095,0.061,"RT @MarkDice: So, people posting videos of themselves harassing White House employees in their private lives are okay, but Alex Jones gets…",43
CNN,0.6344,Fri Sep 07 20:27:02 +0000 2018,0.777,0.0,0.223,RT @KrisParonto: The more you&amp;your fellow liberalists makes asses of yourselves @SenKamalaHarris the more you strengthen the resolve of Pat…,44
CNN,0.4588,Fri Sep 07 20:27:02 +0000 2018,0.84,0.0,0.16,"RT @AC360: Former President Obama: “Don’t tell me your vote doesn’t matter… and if you thought elections don’t matter, I hope these last tw…",45
CNN,0.0,Fri Sep 07 20:27:02 +0000 2018,1.0,0.0,0.0,"RT @bulentmumay: Muhalefet liderlerinin seçim mitinglerini canlı vermeyen CNN Türk, İdlib’te aşiret liderlerini toplantısını canlı yayınlıy…",46
CNN,0.7184,Fri Sep 07 20:27:02 +0000 2018,0.76,0.0,0.24,"RT @joncoopertweets: Ford, a sponsor of the National Football League, has voiced support for NFL players exercising their right to free spe…",47
CNN,-0.6705,Fri Sep 07 20:27:01 +0000 2018,0.756,0.244,0.0,RT @StephenGutowski: @brianstelter Here's President Obama complaining about Fox only reporting negative stories about the Obama admin and n…,48
CNN,0.0,Fri Sep 07 20:27:01 +0000 2018,1.0,0.0,0.0,"RT @amber_athey: CNN, MSNBC, and Fox News all covered the entirety of Obama's speech -- over an hour long -- in Illinois. 

Trump started s…",49
CNN,0.0,Fri Sep 07 20:27:00 +0000 2018,1.0,0.0,0.0,"@CNN Kanye West,  Kim Kardashian, John Legend, and Chrissy Teigen can all go have a multitude of seats. All of them… https://t.co/kNS4wsmyLQ",50
CNN,-0.4939,Fri Sep 07 20:27:00 +0000 2018,0.745,0.184,0.071,"RT @Timcast: CNN said that media pressure got Alex Jones banned in the first place.

They were then given advanced notice of Jones' impendi…",51
CNN,0.4588,Fri Sep 07 20:27:00 +0000 2018,0.812,0.0,0.188,"Now Dedicated. The #server #service from #Google 
https://t.co/4SJKt3QVzo
 #ad #wsj #nytimes #reuters #bloomberg… https://t.co/QKR6GdPwUg",52
CNN,0.4588,Fri Sep 07 20:27:00 +0000 2018,0.84,0.0,0.16,"RT @AC360: Former President Obama: “Don’t tell me your vote doesn’t matter… and if you thought elections don’t matter, I hope these last tw…",53
CNN,-0.4767,Fri Sep 07 20:27:00 +0000 2018,0.876,0.124,0.0,RT @CNN: An American Airlines flight was diverted due to poor weather conditions so the pilot ordered 40 pizzas and hand-delivered them to…,54
CNN,0.8316,Fri Sep 07 20:26:59 +0000 2018,0.492,0.087,0.42,@MichaelCowtan Good. We should nationalize the rest. God forbid we might be rich like Norway one day. https://t.co/hcwfmK58yE,55
CNN,0.6808,Fri Sep 07 20:26:59 +0000 2018,0.676,0.059,0.266,"RT @CNN: Yes, Kanye West is serious about running for president, his friend John Legend says https://t.co/uT8P9qjuJK https://t.co/bble83Ztt9",56
